id,time(utc timestamp),amount(usd),price,side
222.0,1617354118833000.0,4170.0,60870.1716,asks
223.0,1617354119835000.0,2000.0,60867.171,asks
224.0,1617354119835000.0,8000.0,60870.1716,asks
225.0,1617354121731000.0,2000.0,60867.171,asks
226.0,1617354121731000.0,3830.0,60869.6715,asks
227.0,1617354121731000.0,4170.0,60870.1716,asks
228.0,1617354122743000.0,5830.0,60867.171,asks
229.0,1617354122743000.0,4170.0,60867.6711,asks
230.0,1617354123745000.0,2000.0,60867.171,asks
231.0,1617354123745000.0,8000.0,60867.6711,asks
232.0,1617354124948000.0,2000.0,60867.171,asks
233.0,1617354124948000.0,8000.0,60867.6711,asks
234.0,1617354125949000.0,5830.0,60867.171,asks
235.0,1617354125949000.0,4170.0,60867.6711,asks
236.0,1617354127554000.0,2000.0,60867.171,asks
237.0,1617354127554000.0,8000.0,60867.6711,asks
238.0,1617354129471000.0,2000.0,60867.171,asks
239.0,1617354129471000.0,3950.0,60869.6715,asks
240.0,1617354129471000.0,4050.0,60870.1716,asks
241.0,1617354130484000.0,2000.0,60867.171,asks
242.0,1617354130484000.0,8000.0,60867.6711,asks
243.0,1617354131499000.0,10000.0,60833.1642,asks
244.0,1617354132594000.0,10000.0,60833.1642,asks
245.0,1617354133699000.0,10000.0,60833.1642,asks
246.0,1617354134893000.0,2000.0,60855.1686,asks
247.0,1617354134893000.0,3950.0,60861.6699,asks
248.0,1617354134893000.0,4050.0,60862.17,asks
249.0,1617354136066000.0,2000.0,60855.1686,asks
250.0,1617354136066000.0,3950.0,60861.6699,asks
251.0,1617354136066000.0,4050.0,60862.17,asks
252.0,1617354137390000.0,2000.0,60855.1686,asks
253.0,1617354137390000.0,3950.0,60861.6699,asks
254.0,1617354137390000.0,4050.0,60862.17,asks
255.0,1617354138605000.0,2000.0,60855.1686,asks
256.0,1617354138605000.0,3950.0,60861.6699,asks
257.0,1617354138605000.0,4050.0,60862.17,asks
258.0,1617354139792000.0,2000.0,60855.1686,asks
259.0,1617354139792000.0,8000.0,60855.6687,asks
260.0,1617354141068000.0,2000.0,60858.1692,asks
261.0,1617354141068000.0,3950.0,60864.6705,asks
262.0,1617354141068000.0,4050.0,60865.1706,asks
263.0,1617354142614000.0,2000.0,60858.1692,asks
264.0,1617354142614000.0,6000.0,60865.1706,asks
265.0,1617354142614000.0,2000.0,60868.1712,asks
266.0,1617354143633000.0,5860.0,60858.1692,asks
267.0,1617354143633000.0,4140.0,60858.6693,asks
268.0,1617354144900000.0,3860.0,60837.6651,asks
269.0,1617354144900000.0,6140.0,60838.1652,asks
270.0,1617354146040000.0,3860.0,60837.6651,asks
271.0,1617354146040000.0,6140.0,60838.1652,asks
272.0,1617354147468000.0,3860.0,60837.6651,asks
273.0,1617354147468000.0,6140.0,60838.1652,asks
274.0,1617354149096000.0,5860.0,60858.1692,asks
275.0,1617354149096000.0,4140.0,60858.6693,asks
276.0,1617354150528000.0,5860.0,60858.1692,asks
277.0,1617354150528000.0,4140.0,60858.6693,asks
278.0,1617354152811000.0,5860.0,60858.1692,asks
279.0,1617354152811000.0,4140.0,60858.6693,asks
280.0,1617354153961000.0,2000.0,60858.1692,asks
281.0,1617354153961000.0,8000.0,60858.6693,asks
282.0,1617354155976000.0,5860.0,60858.1692,asks
283.0,1617354155976000.0,4140.0,60858.6693,asks
284.0,1617354156984000.0,2000.0,60858.1692,asks
285.0,1617354156984000.0,8000.0,60858.6693,asks
286.0,1617354158335000.0,2000.0,60858.1692,asks
287.0,1617354158335000.0,3630.0,60864.6705,asks
288.0,1617354158335000.0,4370.0,60865.1706,asks
289.0,1617354159769000.0,2000.0,60858.1692,asks
290.0,1617354159769000.0,3630.0,60864.6705,asks
291.0,1617354159769000.0,4370.0,60865.1706,asks
